-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2000,28.0,65.625,34.23,28.52,20.81,16.65,16.55,14.36,18.47,23.87,16.64,15.87,25.64,39.46,22.6
RH2M,2000,28.0,66.25,34.24,28.75,19.99,16.02,16.01,15.03,23.67,26.97,20.04,16.02,25.3,36.68,23.24
RH2M,2000,28.0,66.875,29.51,24.81,16.2,13.09,15.42,13.64,28.75,27.93,22.58,13.73,20.99,30.33,21.44
RH2M,2000,28.0,67.5,23.05,19.91,11.65,9.24,15.45,12.85,27.81,26.62,21.76,10.53,15.39,22.48,18.09
RH2M,2000,28.0,68.125,23.87,21.28,11.6,9.79,22.27,18.42,32.13,31.04,27.91,10.55,15.04,21.42,20.47
RH2M,2000,28.0,68.75,24.36,22.5,12.77,12.33,27.49,24.21,35.58,34.39,30.85,11.89,17.07,21.26,22.91
RH2M,2000,28.0,69.375,25.37,23.82,13.58,13.67,28.99,27.36,37.23,35.7,31.43,13.57,18.75,22.23,24.33
RH2M,2000,28.0,70.0,26.33,24.7,13.6,14.09,29.03,29.56,38.65,36.54,31.64,14.62,19.79,22.78,25.13
RH2M,2000,28.0,70.625,27.09,25.04,13.83,14.33,28.67,30.32,40.4,37.67,31.71,14.92,20.26,23.13,25.63
RH2M,2000,28.5,65.625,32.83,26.68,19.42,15.84,14.63,12.38,16.17,20.26,13.88,15.0,24.06,42.29,21.14
RH2M,2000,28.5,66.25,37.0,30.73,21.82,17.49,14.91,14.75,23.16,25.81,18.5,17.62,27.7,41.95,24.3
RH2M,2000,28.5,66.875,30.7,26.18,17.27,14.02,14.44,13.65,29.61,26.87,21.55,14.25,22.48,34.21,22.13
RH2M,2000,28.5,67.5,22.53,19.33,11.55,9.05,13.88,12.36,27.87,25.04,20.6,9.82,15.25,23.48,17.59
RH2M,2000,28.5,68.125,23.97,20.65,11.44,8.99,19.61,17.24,30.79,29.5,26.14,9.97,14.72,21.51,19.57
RH2M,2000,28.5,68.75,23.37,20.9,11.66,9.41,23.4,21.43,33.51,32.44,28.92,10.06,14.74,19.88,20.83
RH2M,2000,28.5,69.375,25.02,22.52,12.66,10.15,25.07,23.76,35.24,34.07,29.93,11.22,16.31,21.05,22.27
RH2M,2000,28.5,70.0,26.83,25.36,14.41,12.12,25.94,26.05,36.19,34.69,30.31,13.07,18.96,22.49,23.88
RH2M,2000,28.5,70.625,27.85,26.43,14.73,12.85,25.82,27.03,37.08,34.88,30.07,13.65,19.93,23.4,24.49
RH2M,2000,29.0,65.625,33.86,27.78,19.74,16.0,13.94,11.17,15.13,18.15,12.35,15.52,24.9,46.79,21.3
RH2M,2000,29.0,66.25,38.19,31.77,22.68,17.86,13.55,13.4,20.73,22.84,15.71,18.11,28.82,46.31,24.18
RH2M,2000,29.0,66.875,34.99,29.96,20.34,16.11,14.3,14.22,30.0,26.45,20.21,16.35,26.21,41.24,24.22
RH2M,2000,29.0,67.5,23.36,19.57,12.14,9.25,13.02,11.89,28.21,23.91,19.61,9.8,15.91,26.22,17.77
RH2M,2000,29.0,68.125,24.26,20.46,11.67,8.74,18.03,16.11,29.81,28.11,24.44,9.64,14.91,22.41,19.07
RH2M,2000,29.0,68.75,25.76,22.33,12.16,9.05,22.4,20.87,34.37,33.24,28.4,10.28,15.39,21.43,21.33
RH2M,2000,29.0,69.375,27.64,23.94,13.06,9.7,23.65,23.01,36.82,35.42,30.08,11.28,16.77,22.79,22.87
RH2M,2000,29.0,70.0,27.06,24.99,14.05,10.45,22.79,23.21,35.24,33.6,28.88,11.32,17.16,22.05,22.58
RH2M,2000,29.0,70.625,28.92,28.02,15.99,12.19,23.16,24.04,35.0,32.88,28.76,12.32,18.83,23.68,23.65
RH2M,2000,29.5,65.625,35.12,28.32,19.9,15.23,12.29,10.33,14.04,16.23,11.39,15.67,25.21,43.07,20.58
RH2M,2000,29.5,66.25,37.16,30.49,21.5,16.31,11.84,11.57,18.19,19.19,13.34,16.55,26.93,44.76,22.33
RH2M,2000,29.5,66.875,38.09,32.44,22.03,16.76,13.71,13.62,28.19,24.47,17.93,17.02,27.73,45.33,24.8
RH2M,2000,29.5,67.5,25.15,21.12,13.58,9.97,12.51,11.36,28.65,23.26,18.82,10.39,17.09,30.66,18.58
