-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,28.0,65.625,9.74,10.49,15.54,24.53,30.17,29.49,30.16,29.53,26.59,21.03,14.27,11.28,21.1
T2M,2000,28.0,66.25,8.38,8.88,13.95,22.76,28.61,27.87,28.93,27.93,25.1,19.9,13.27,10.47,19.7
T2M,2000,28.0,66.875,10.81,11.26,16.57,25.64,31.03,30.8,30.86,30.11,27.18,22.75,15.88,13.07,22.19
T2M,2000,28.0,67.5,16.17,16.81,22.93,32.71,37.56,37.64,37.18,36.7,33.4,29.17,21.79,18.37,28.4
T2M,2000,28.0,68.125,16.9,17.72,24.13,33.92,38.82,39.15,38.62,38.37,34.71,30.43,23.02,18.72,29.57
T2M,2000,28.0,68.75,17.14,17.75,24.35,33.81,38.15,38.44,37.68,37.6,34.31,30.76,23.33,19.19,29.41
T2M,2000,28.0,69.375,16.84,17.54,24.27,33.56,37.7,37.89,36.98,37.14,34.08,30.63,23.23,19.04,29.1
T2M,2000,28.0,70.0,16.61,17.25,24.17,33.37,37.28,37.53,36.35,36.66,33.77,30.54,23.13,18.86,28.82
T2M,2000,28.0,70.625,16.44,17.0,23.99,33.15,36.93,37.19,35.78,36.15,33.58,30.52,22.98,18.65,28.56
T2M,2000,28.5,65.625,10.45,11.4,16.51,25.55,31.31,30.86,31.62,31.01,27.72,22.01,15.06,11.77,22.13
T2M,2000,28.5,66.25,6.38,6.79,11.85,20.53,26.58,25.89,27.05,26.12,23.04,17.58,11.07,8.31,17.63
