Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1961","1961","t","324100","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1962","1962","t","366300","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1963","1963","t","418500","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1964","1964","t","377600","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1965","1965","t","417000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1966","1966","t","465946","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1967","1967","t","520368","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1968","1968","t","529040","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1969","1969","t","535545","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1970","1970","t","542484","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1971","1971","t","707484","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1972","1972","t","701846","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1973","1973","t","658481","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1974","1974","t","634199","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1975","1975","t","513868","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1976","1976","t","434900","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1977","1977","t","574800","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1978","1978","t","473200","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1979","1979","t","728200","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1980","1980","t","714500","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1981","1981","t","748000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1982","1982","t","823900","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1983","1983","t","494589","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1984","1984","t","1008571","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1985","1985","t","1216500","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1986","1986","t","1319500","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1987","1987","t","1468180","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1988","1988","t","1426037","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1989","1989","t","1455748","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1990","1990","t","1637580","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1991","1991","t","2180930","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1992","1992","t","1539960","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1993","1993","t","1367710","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1994","1994","t","1479290","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1995","1995","t","1802086","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1996","1996","t","1594457","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1997","1997","t","1563000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1998","1998","t","1496000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","1999","1999","t","1911812","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2000","2000","t","1825389","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2001","2001","t","1805200","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2002","2002","t","1736800","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2003","2003","t","1709100","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2004","2004","t","2426500","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2005","2005","t","2214475","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2006","2006","t","2083792","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2007","2007","t","1892276","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2008","2008","t","1923264","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2009","2009","t","2111400","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2010","2010","t","1949000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2011","2011","t","2312000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2012","2012","t","2217000","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2013","2013","t","2171948","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2014","2014","t","2374481","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2015","2015","t","1686922","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2016","2016","t","1815038","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2017","2017","t","2031909","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2018","2018","t","1677287","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2019","2019","t","1556052","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2020","2020","t","1201550","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2021","2021","t","1416706","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2022","2022","t","835101","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01921.02","Cotton lint, ginned","2023","2023","t","1738839","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5312","Area harvested","0112","Maize (corn)","1961","1961","ha","473083","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","1030.9","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0112","Maize (corn)","1961","1961","t","487680","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5312","Area harvested","0112","Maize (corn)","1962","1962","ha","458514","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","1052.5","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0112","Maize (corn)","1962","1962","t","482600","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5312","Area harvested","0112","Maize (corn)","1963","1963","ha","500197","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","1052.2","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0112","Maize (corn)","1963","1963","t","526300","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5312","Area harvested","0112","Maize (corn)","1964","1964","ha","486437","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","1086.1","A","Official value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0112","Maize (corn)","1964","1964","t","528300","A","Official value",""
